CITY_SET;COMPANY_SET;IS_SUBSCRIBE;PARTNER_CAMPAIGN_SET;AVATAR_SET;WORK_SET;BLOG_NAME_SET;EMAIL_CONFIRMED;IS_MAIL_DISABLED;IS_MAIL_UNSUBSCRIBE;BIRTH_DAY_SET;UTM_SOURCE_admitad;UTM_SOURCE_advcake;UTM_SOURCE_email;UTM_SOURCE_habr;UTM_SOURCE_internal;UTM_SOURCE_missing;UTM_SOURCE_partners;UTM_SOURCE_rare_value;UTM_SOURCE_search;UTM_SOURCE_telegram;UTM_SOURCE_typein;UTM_SOURCE_vk;UTM_SOURCE_vkpost;UTM_SOURCE_yandex.ru;UTM_MEDIUM_affilate;UTM_MEDIUM_cpa;UTM_MEDIUM_cpc;UTM_MEDIUM_cpm;UTM_MEDIUM_direct;UTM_MEDIUM_email;UTM_MEDIUM_free;UTM_MEDIUM_missing;UTM_MEDIUM_organic;UTM_MEDIUM_rare_value;TYPE_b2b;TYPE_missing;TYPE_student;GENDER_f;GENDER_m;GENDER_missing;PHONE_CONFIRMED
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1
0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1
0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1
0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1
